ID	MS	Mp	VFN	Mh	Man	MMS	TAN	T	Va	Ve	Mk	Cn	Ct	Cr	m (kg)	ID	Mt	Enedc (g/km)	Ewltp (g/km)	W (mm)	At1 (mm)	At2 (mm)	Ft	Fm	ec (cm3)	ep (KW)	z (Wh/km)	It	Ernedc (g/km)	Erwltp (g/km)	De	Vf	r
3142422	PL	VW GROUP PC		SKODA	SKODA AUTO AS	SKODA AUTO AS	e8*2007/46*0317*00	3T	AACZEAX01	NFD7FD7CW002STN617	SKODA	SUPERB	M1	M1	1450	3142422		121		1572	2836	1572	Petrol	M	1395	92							1
13048320	BE	VW GROUP PC		SKODA	SKODA AUTO AS	SKODA	e8*2007/46*0272*03	NU	ACDADAX0	NFM6FM62S0324617	SKODA	KAROQ	M1	M1	1378	13048320		123		1537	2624	1572	Petrol	M	1498	110							1
9455476	DE	VW GROUP PC	IP-08-TMB-2018-2148	SKODA	SKODA AUTO AS	SKODA (CZ)	e8*2007/46*0249*08	NS	ACDFHAX1	NAD7AD7DL0037CP0GS5V1C7B	SKODA	KODIAQ	M1G	M1G	1775	9455476	1996	147	188	1576	2788	1586	DIESEL	M	1968	140						0	1
3142534	PL	VW GROUP PC		SKODA	SKODA AUTO AS	SKODA AUTO AS	e8*2007/46*0317*00	3T	ACCZEAX01	NFD7FD7CW002STN617	SKODA	SUPERB	M1	M1	1475	3142534		122		1572	2836	1572	Petrol	M	1395	92							1
9349418	DE	VW GROUP PC		SKODA	SKODA AUTO AS	SKODA (CZ)	e11*2001/116*0291*53	5J	ACCUSBX01	NFD7FD7CW004N617	SKODA	FABIA	M1	M1	1220	9349418		105		1457	2455	1463	DIESEL	M	1422	66							1
5399231	GB	VW GROUP PC		SKODA	SKODA AUTO AS	SKODA	e8*2007/46*0272*03	NU	ACCHZJX0	NFD7FD7CW0075617	SKODA	KAROQ SE TSI S-A	M1	M1	1361	5399231		118		1537	2624	1572	Petrol	M	999								1
9450893	DE	VW GROUP PC	IP-08-TMB-2018-2148	SKODA	SKODA AUTO AS	SKODA (CZ)	e8*2007/46*0249*09	NS	ACDFHAX1	NAD7AD7DL0037CP0GS5V1C7B	SKODA	KODIAQ	M1G	M1G	1775	9450893	1999	147	188	1575	2788	1585	DIESEL	M	1968	140						0	1
3549330	GB	VW GROUP PC		SKODA	SKODA AUTO AS	SKODA	e8*2007/46*0272*02	NU	ACDADAX0	NFM6FM62S0327628	SKODA	KAROQ SE L TSI	M1	M1	1378	3549330		125		1537	2624	1572	Petrol	M	1498			e8 19	1				1
5401620	GB	VW GROUP PC		SKODA	SKODA AUTO AS	SKODA	e8*2007/46*0272*03	NU	ACCHZJX0	NFD7FD7CW0075617	SKODA	KAROQ SE TSI S-A	M1	M1	1361	5401620		118		1537	2624	1572	Petrol	M	999								1
9308437	DE	VW GROUP PC		SKODA	SKODA AUTO AS	SKODA (CZ)	e8*2007/46*0317*00	3T	ACCZCAX01	NFM6FM6AJ014STN617	SKODA	SUPERB	M1	M1	1440	9308437		131		1574	2836	1586	PETROL	M	1395	92							1
5407833	GB	VW GROUP PC		SKODA	SKODA AUTO AS	SKODA	e8*2007/46*0272*03	NU	ACCHZJX0	NFD7FD7CW0075617	SKODA	KAROQ SE TSI S-A	M1	M1	1361	5407833		118		1537	2624	1572	Petrol	M	999								1
