"country	country_code	ETS information	main activity sector name	unit	value	year"
"Sweden	SE	1.2 Correction to freely allocated allowances (not reflected in EUTL)	10 Aviation	tonne of CO2 equ.	0	Total 1st trading period (05-07)"
"Sweden	SE	1.1.2 Free allocation from the new entrants reserve (Art. 10a(7))	21-99 All industrial installations (excl. combustion)	tonne of CO2 equ.	311366	2016"
"Sweden	SE	1.1.2 Free allocation from the new entrants reserve (Art. 10a(7))	21-99 All industrial installations (excl. combustion)	tonne of CO2 equ.	482201	2019"
"Sweden	SE	1.1.3 Free allocation for modernisation of electricity generation (Art. 10c)	21-99 All industrial installations (excl. combustion)	tonne of CO2 equ.	0	2019"
"Sweden	SE	2. Verified emissions	21-99 All industrial installations (excl. combustion)	tonne of CO2 equ.	11471589	2016"
"Sweden	SE	4.3 Surrendered emission reduction units (ERUs)	21-99 All industrial installations (excl. combustion)	tonne of CO2 equ.	0	2005"
"Sweden	SE	1.1.1 Free allocation to existing entities (Art. 10a(1))	23 Metal ore roasting or sintering	tonne of CO2 equ.	472664	2007"
"Sweden	SE	1.1.1 Free allocation to existing entities (Art. 10a(1))	23 Metal ore roasting or sintering	tonne of CO2 equ.	537248	2008"
"Sweden	SE	4. Total surrendered units	23 Metal ore roasting or sintering	tonne of CO2 equ.	438672	2005"
"Sweden	SE	4.2 Surrendered certified emission reductions (CERs)	23 Metal ore roasting or sintering	tonne of CO2 equ.	0	2007"
"Sweden	SE	4.2 Surrendered certified emission reductions (CERs)	23 Metal ore roasting or sintering	tonne of CO2 equ.	0	2008"
"Sweden	SE	2. Verified emissions	24  Production of pig iron or steel	tonne of CO2 equ.	4362305	2008"
"Sweden	SE	2. Verified emissions	24  Production of pig iron or steel	tonne of CO2 equ.	4457024	2019"
"Sweden	SE	4.1 Surrendered EU allowances (EUAs and EUAAs)	24  Production of pig iron or steel	tonne of CO2 equ.	4104310	2005"
"Sweden	SE	4.3 Surrendered emission reduction units (ERUs)	24  Production of pig iron or steel	tonne of CO2 equ.	0	2007"
"Slovakia	SK	1.1 Freely allocated allowances	26 Production of primary aluminium	tonne of CO2 equ.	252893	2016"
"Slovakia	SK	1.1.2 Free allocation from the new entrants reserve (Art. 10a(7))	26 Production of primary aluminium	tonne of CO2 equ.	0	2017"
"Slovakia	SK	1.1.2 Free allocation from the new entrants reserve (Art. 10a(7))	26 Production of primary aluminium	tonne of CO2 equ.	0	2018"
"Slovakia	SK	4. Total surrendered units	26 Production of primary aluminium	tonne of CO2 equ.	24562	2009"
"Slovakia	SK	4. Total surrendered units	26 Production of primary aluminium	tonne of CO2 equ.	26793	2011"
"Slovakia	SK	4. Total surrendered units	26 Production of primary aluminium	tonne of CO2 equ.	25322	2012"
"Slovakia	SK	4.2 Surrendered certified emission reductions (CERs)	26 Production of primary aluminium	tonne of CO2 equ.	0	2006"
"Slovakia	SK	1.1.1 Free allocation to existing entities (Art. 10a(1))	28 Production or processing of non-ferrous metals	tonne of CO2 equ.	237070	2016"
"Slovakia	SK	2. Verified emissions	28 Production or processing of non-ferrous metals	tonne of CO2 equ.	16167	2005"
"Slovakia	SK	4.3 Surrendered emission reduction units (ERUs)	28 Production or processing of non-ferrous metals	tonne of CO2 equ.	0	2008"
"Slovakia	SK	1.1 Freely allocated allowances	29 Production of cement clinker	tonne of CO2 equ.	2346569	2007"
"Slovakia	SK	1.1 Freely allocated allowances	29 Production of cement clinker	tonne of CO2 equ.	2701280	2008"
"Slovakia	SK	1.1 Freely allocated allowances	29 Production of cement clinker	tonne of CO2 equ.	1941169	2016"
"Slovakia	SK	1.1.2 Free allocation from the new entrants reserve (Art. 10a(7))	29 Production of cement clinker	tonne of CO2 equ.	0	2017"
"Slovakia	SK	1.1.2 Free allocation from the new entrants reserve (Art. 10a(7))	29 Production of cement clinker	tonne of CO2 equ.	0	2018"
"Slovakia	SK	2. Verified emissions	29 Production of cement clinker	tonne of CO2 equ.	1648695	2010"
"Slovakia	SK	4.2 Surrendered certified emission reductions (CERs)	29 Production of cement clinker	tonne of CO2 equ.	0	2006"
"Slovakia	SK	1.1.1 Free allocation to existing entities (Art. 10a(1))	30 Production of lime, or calcination of dolomite/magnesite	tonne of CO2 equ.	2501751	2010"
"Slovakia	SK	1.1.1 Free allocation to existing entities (Art. 10a(1))	30 Production of lime, or calcination of dolomite/magnesite	tonne of CO2 equ.	1525574	2013"
"Slovakia	SK	1.1.1 Free allocation to existing entities (Art. 10a(1))	30 Production of lime, or calcination of dolomite/magnesite	tonne of CO2 equ.	1182152	2017"
