Date;Bid;Ask;Opening price;High price;Low price;Closing price;Average price;Total volume;Turnover;Trades;
2018-12-28;4,078;4,083;4,00;4,117;3,995;4,076;4,083;988115;4034300,94;1075;
2018-12-27;4,002;4,008;4,087;4,112;3,99;3,995;4,055;1195487;4848035,58;1377;
2018-12-21;4,123;4,125;4,12;4,143;4,043;4,122;4,10;919570;3770429,07;1096;
2018-12-20;4,169;4,174;4,151;4,186;4,119;4,163;4,162;941170;3917348,22;1036;
2018-12-19;4,183;4,186;4,17;4,213;4,17;4,18;4,191;651864;2732150,44;698;
2018-12-18;4,18;4,183;4,24;4,268;4,166;4,171;4,198;964258;4054344,71;909;
2018-12-17;4,238;4,242;4,229;4,27;4,225;4,241;4,242;807813;3423975,68;827;
2018-12-14;4,23;4,232;4,142;4,24;4,142;4,226;4,202;917571;3854814,15;1032;
2018-12-13;4,157;4,162;4,164;4,204;4,153;4,153;4,18;1134391;4742020,34;1095;
2018-12-12;4,155;4,157;4,133;4,161;4,11;4,159;4,143;1039813;4308256,38;894;
2018-12-11;4,117;4,12;4,024;4,14;4,024;4,119;4,11;1115929;4586631,46;1009;
2018-12-10;4,017;4,02;4,021;4,07;4,012;4,012;4,043;1208243;4884287,7;981;
2018-12-07;4,057;4,059;4,05;4,108;4,032;4,049;4,081;1090547;4450292,49;1143;
2018-12-05;4,079;4,083;4,09;4,114;4,05;4,078;4,089;457411;1870416,47;501;
2018-12-04;4,111;4,116;4,088;4,128;4,088;4,103;4,115;670872;2760514,69;756;
2018-12-03;4,089;4,094;4,11;4,128;4,072;4,099;4,102;732626;3004950,71;714;
2018-11-30;4,072;4,078;4,063;4,094;4,044;4,069;4,074;609443;2482514,35;768;
2018-11-29;4,066;4,07;4,105;4,119;4,062;4,064;4,086;451447;1844778,79;480;
2018-11-28;4,09;4,093;4,08;4,153;4,08;4,086;4,103;1074775;4409702,87;1314;
2018-11-27;4,062;4,066;4,001;4,081;4,001;4,06;4,064;1284794;5221118,64;1293;
2018-11-26;4,015;4,018;3,93;4,041;3,93;4,016;3,988;506090;2018244,68;728;
2018-11-23;3,923;3,927;3,899;3,933;3,887;3,918;3,916;325507;1274919,96;397;
2018-11-22;3,896;3,90;3,927;3,93;3,892;3,892;3,913;364323;1425609,17;543;
2018-11-21;3,932;3,936;3,90;3,936;3,878;3,927;3,904;486237;1898320,83;739;
2018-11-20;3,882;3,884;3,98;3,98;3,88;3,88;3,924;813711;3192706,9;1022;
2018-11-19;3,984;3,987;4,01;4,033;3,981;3,981;4,01;882521;3539223,52;1051;
2018-11-16;4,004;4,008;4,015;4,034;3,982;4,01;4,006;1056231;4231237,76;1215;
2018-11-15;4,017;4,022;4,031;4,064;3,995;4,015;4,025;753274;3031997,77;775;
2018-11-14;4,025;4,029;4,08;4,08;4,024;4,03;4,043;635108;2567868,99;708;
2018-11-13;4,093;4,097;4,087;4,106;4,07;4,091;4,09;651722;2665441,12;651;
2018-11-12;4,08;4,085;4,093;4,106;4,075;4,088;4,089;575526;2353217,25;739;
2018-11-09;4,092;4,097;4,086;4,113;4,081;4,094;4,101;414456;1699623,79;451;
2018-11-08;4,096;4,10;4,088;4,108;4,081;4,105;4,098;497777;2039997,3;659;
2018-11-07;4,072;4,075;4,044;4,094;4,044;4,076;4,076;671738;2738193,34;601;
2018-11-06;4,042;4,045;4,08;4,09;4,031;4,038;4,048;437313;1770018,31;481;
2018-11-05;4,066;4,07;4,02;4,074;4,02;4,07;4,057;1375581;5580923,83;1239;
